Index,Codul candidatului,Poziţia în ierarhia Evaluare Națională 2025,Școala de proveniență,Limba şi literatura română - Notă,Limba şi literatura română - Contestație,Limba şi literatura română - Notă finală,Matematică - Notă,Matematică - Contestație,Matematică - Notă finală,Limba şi literatura maternă - Denumire,Limba şi literatura maternă - Notă,Limba şi literatura maternă - Contestație,Limba şi literatura maternă - Notă finală,Media la evaluarea națională
67,TM10094229,372,ȘCOALA GIMNAZIALĂ NR.25 TIMIȘOARA,9.50,-,-,9.25,-,-,-,-,-,-,9.37
68,TM10094384,2058,ȘCOALA GIMNAZIALĂ NR.25 TIMIȘOARA,7.30,-,-,8.50,-,-,-,-,-,-,7.90
69,TM10094564,3477,ȘCOALA GIMNAZIALĂ SATCHINEZ,5.65,-,-,6.70,-,-,-,-,-,-,6.17
70,TM10096260,4943,ȘCOALA GIMNAZIALĂ NR.4 LUGOJ,3.95,-,-,3.50,-,-,-,-,-,-,3.72
71,TM10097876,219,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",9.40,-,-,9.70,-,-,-,-,-,-,9.55
72,TM10098148,2416,"ȘCOALA GIMNAZIALĂ ""EFTIMIE MURGU"" LUGOJ",8.50,-,-,6.50,-,-,-,-,-,-,7.50
73,TM10098226,317,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",8.95,-,-,9.95,-,-,-,-,-,-,9.45
74,TM10098373,2978,ȘCOALA GIMNAZIALĂ NR.2 TIMIȘOARA,8.15,-,-,5.45,-,-,-,-,-,-,6.80
75,TM10098533,3973,ȘCOALA GIMNAZIALĂ DAROVA,5.90,-,-,5.10,-,-,-,-,-,-,5.50
76,TM10098552,220,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",9.40,-,-,9.70,-,-,-,-,-,-,9.55
77,TM10098646,3651,"ȘCOALA GIMNAZIALĂ NR.21 ""VICENȚIU BABEȘ"" TIMIȘOARA",6.40,-,-,5.50,-,-,-,-,-,-,5.95
78,TM10098663,3705,ȘCOALA GIMNAZIALĂ NR.2 LUGOJ,6.15,-,-,5.60,-,-,-,-,-,-,5.87
79,TM10098690,3781,"LICEUL DE ARTĂ ""ION VIDU"" TIMIȘOARA",5.95,-,-,5.60,-,-,-,-,-,-,5.77
80,TM10098809,4395,ȘCOALA GIMNAZIALĂ DAROVA,5.40,-,-,4.40,-,-,-,-,-,-,4.90
81,TM10098925,1997,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",9.55,-,-,6.35,-,-,-,-,-,-,7.95
82,TM10099141,891,COLEGIUL NAȚIONAL BĂNĂȚEAN TIMIȘOARA,8.90,-,-,9.00,-,-,-,-,-,-,8.95
83,TM10099401,3958,LICEUL TEORETIC GĂTAIA,5.90,-,-,5.15,-,-,-,-,-,-,5.52
84,TM10099471,1341,ȘCOALA GIMNAZIALĂ NR.25 TIMIȘOARA,8.85,-,-,8.25,-,-,-,-,-,-,8.55
85,TM10099800,592,LICEUL TEORETIC GĂTAIA,9.10,-,-,9.30,-,-,-,-,-,-,9.20
86,TM10099823,2836,"LICEUL CU PROGRAM SPORTIV ""BANATUL"" TIMIȘOARA",7.30,-,-,6.70,-,-,-,-,-,-,7.00
87,TM10100003,50,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",9.60,-,-,10.00,-,-,-,-,-,-,9.80
88,TM10100354,3227,"LICEUL TEOLOGIC ORTODOX ""SFÂNTUL ANTIM IVIREANUL"" TIMIȘOARA",6.10,-,-,6.95,-,-,-,-,-,-,6.52
89,TM10100612,2277,"LICEUL TEORETIC ""GRIGORE MOISIL"" TIMIȘOARA",6.85,-,-,8.50,-,-,-,-,-,-,7.67
90,TM10101164,222,ȘCOALA GIMNAZIALĂ NR.25 TIMIȘOARA,9.35,-,-,9.75,-,-,-,-,-,-,9.55
91,TM10102880,1167,ȘCOALA GIMNAZIALĂ NR.30 TIMIȘOARA,9.10,-,-,8.30,-,-,-,-,-,-,8.70
92,TM10103586,922,ȘCOALA GIMNAZIALĂ NR.25 TIMIȘOARA,8.95,-,-,8.90,-,-,-,-,-,-,8.92
93,TM10103857,3752,ȘCOALA GIMNAZIALĂ LIEBLING,5.60,-,-,6.05,-,-,-,-,-,-,5.82
94,TM10104282,3839,"ȘCOALA GIMNAZIALĂ ""MARTIN ȘUBONI"" JEBEL",6.25,-,-,5.15,-,-,-,-,-,-,5.70
95,TM10104446,4415,ȘCOALA GIMNAZIALĂ LIEBLING,4.75,-,-,5.00,-,-,-,-,-,-,4.87
96,TM10104591,1421,"LICEUL TEORETIC ""DAVID VONIGA"" GIROC",8.50,-,-,8.50,-,-,-,-,-,-,8.50
